Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,predict,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
335,Diptera_Group_215,Corynoptera globiformis,introduced,33.0,50.0,1,1.0,1,native,0.15142502,,0.01223269,,0.6432574000000001,,0.00917438,,0.0,,0.01901678861,
336,Diptera_Group_216,Zygoneura calthella,native,66.0,50.0,1,1.0,2,introduced,0.14249112,0.0,0.03775305,0.0,0.47699158,0.0,0.05635294,0.0,4.5999999999999996e-11,1.0,0.07914825247,
337,Diptera_Group_217,,,,,0,,1,native,0.13708789999999998,,0.04325152,,0.51250338,,0.07162966,,1.1e-10,,0.08439265318,
338,Diptera_Group_218,,,,,0,,1,native,0.1333127,,0.01223269,,0.59488076,,0.00925933,,4.610000000000001e-13,,0.0205632638,
339,Diptera_Group_219,,,,,0,,1,native,0.12931099999999998,,0.02240492,,0.50309991,,0.0184337,,7.3e-11,,0.044533738839999996,
340,Diptera_Group_22,Forcipomyia bipunctata,,66.0,,1,1.0,1,native,0.18002594,,0.01620043,,0.88677123,,0.01379332,,0.0,,0.018269007219999998,
341,Diptera_Group_220,Sciara kitakamiensis,introduced,33.0,50.0,1,1.0,3,introduced,0.12931099999999998,0.0,0.02882001,0.0,0.40809179999999995,0.0,0.0419642,0.0,2.5899999999999997e-08,1.0,0.0706213896,
342,Diptera_Group_221,Culex salinarius,native,33.0,50.0,2,4.0,3,native,0.03356483,0.01334888,0.00205191,0.00269361,0.14090676,0.0476732,0.00465495,0.00611625,2.92e-08,0.10755005,0.014562182819999998,0.056501556429999995
343,Diptera_Group_221,Culiseta melanura,native,66.0,50.0,2,3.0,3,native,0.03356483,0.01334888,0.00205191,0.00269361,0.14090676,0.0476732,0.00465495,0.00611625,2.92e-08,0.10755005,0.014562182819999998,0.056501556429999995
344,Diptera_Group_222,,,,,0,,8,introduced,0.03147138,0.0007618,0.0,0.0,0.13799403,0.00312689,0.0,0.0,2.2599999999999997e-08,0.67754004,0.0,0.0
345,Diptera_Group_223,,,,,0,,4,native,0.03712947,0.0030538,0.0,0.0,0.16782459,0.01282176,0.0,0.0,5.84e-09,0.52250695,0.0,0.0
346,Diptera_Group_23,Mycetophila fungorum,,66.0,,1,1.0,3,native,0.17731422,0.00203302,0.05208618,0.0,0.51908035,0.00842125,0.05153365,0.0,0.0,0.4381906,0.1003431935,0.0
347,Diptera_Group_24,,,,,0,,1,native,0.17660291,,0.03522747,,0.76254768,,0.0419642,,0.0,,0.046197071900000004,
348,Diptera_Group_25,Dasyhelea incisurata,introduced,100.0,50.0,1,1.0,3,native,0.17694726,0.00101541,0.03160441,0.0,0.71726137,0.004192899999999999,0.02666825,0.0,0.0,0.54520587,0.044062612769999995,0.0
349,Diptera_Group_26,Psilocephala argentata,introduced,33.0,50.0,1,1.0,1,native,0.16746778,,0.02050551,,0.79796652,,0.00660068,,0.0,,0.02569720594,
350,Diptera_Group_27,,,,,0,,1,native,0.17708133,,0.0234076,,0.67746499,,0.02777956,,0.0,,0.03455174857,
351,Diptera_Group_28,Agromyza sp. Agvt,,,,1,1.0,1,native,0.16973773,,0.01351388,,0.90123339,,0.02051354,,0.0,,0.014994872749999999,
352,Diptera_Group_29,Efferia aestuans,native,66.0,50.0,1,1.0,1,native,0.16714254,,0.03356533,,0.71785038,,0.03248546,,0.0,,0.04675811414,
353,Diptera_Group_3,Eutolmus lecythus,,66.0,,1,1.0,1,native,0.25766514,,0.03425081,,2.47187765,,0.04512044,,0.0,,0.01385619147,
354,Diptera_Group_30,,,,,0,,1,native,0.15235857,,0.01390687,,0.66012399,,0.01534012,,0.0,,0.02106705742,
355,Diptera_Group_31,,,,,0,,1,native,0.07499548,,0.0129024,,0.30591902,,0.024657,,6.08e-13,,0.04217586733,
356,Diptera_Group_32,,,,,0,,3,native,0.07499548,0.00304946,0.0129024,0.00134862,0.30591902,0.00827747,0.01534012,0.00305111,3.76e-12,0.36303741,0.04217586733,0.1629265947
357,Diptera_Group_33,,,,,0,,1,native,0.10964153,,0.00202771,,0.57690251,,0.0,,0.0,,0.003514822634,
358,Diptera_Group_34,,,,,0,,3,native,0.10964153,0.00304914,0.00202771,0.0,0.57690251,0.01237141,0.0,0.0,0.0,0.15733928,0.003514822634,0.0
359,Diptera_Group_35,Simulium venustum,native,33.0,50.0,1,1.0,1,native,0.16371558,,0.03268491,,0.65582352,,0.036105,,0.0,,0.049837965559999996,
360,Diptera_Group_36,,,,,0,,1,native,0.15888386,,0.02975767,,0.63651796,,0.0184337,,0.0,,0.046750715410000004,
361,Diptera_Group_37,Lasiopogon tetragrammus,native,66.0,50.0,1,1.0,1,native,0.17945226,,0.03348771,,0.76898412,,0.04714678,,0.0,,0.043547986399999995,
362,Diptera_Group_38,Limonia tristigma,native,66.0,50.0,1,1.0,1,native,0.16214593,,0.02497782,,0.65873107,,0.03248546,,2.7e-13,,0.03791808393,
363,Diptera_Group_39,,,,,0,,1,native,0.15888386,,0.02764818,,0.60842735,,0.0184337,,0.0,,0.04544204004,
364,Diptera_Group_4,,,,,0,,2,native,0.23591774,0.00152341,0.06081125,0.0,0.83997971,0.00635597,0.07586575,0.0,0.0,0.31779278,0.07239609394999999,0.0
365,Diptera_Group_40,,,,,0,,2,native,0.15985537,0.00152341,0.02956586,0.00199867,0.69389834,0.0,0.03013251,0.00457667,0.0,0.31884127,0.042608345189999994,
366,Diptera_Group_41,,,,,0,,5,native,0.15563643,0.0074985,0.02703377,0.000807,0.68458789,0.02872128,0.02670405,0.00183277,2.75e-13,0.05397682,0.03948911512,0.028097633530000003
367,Diptera_Group_42,,,,,0,,1,native,0.15971033,,0.04354306,,0.53887012,,0.05153365,,1.99e-11,,0.08080436896000001,
368,Diptera_Group_43,,,,,0,,1,native,0.15525998,,0.02266656,,0.55957799,,0.01379332,,0.0,,0.04050652528,
369,Diptera_Group_44,Mumetopia occipitalis,native,33.0,50.0,1,1.0,1,native,0.15552075,,0.02990087,,0.59537029,,0.02777956,,2.7899999999999997e-13,,0.050222307869999996,
370,Diptera_Group_45,,,,,0,,1,native,0.15287461,,0.02351129,,0.63026685,,0.0,,0.0,,0.03730370715,
371,Diptera_Group_46,,,,,0,,1,native,0.12582632,,0.0,,0.73487196,,0.0,,0.0,,0.0,
372,Diptera_Group_47,,,,,0,,2,native,0.12582632,0.02000436,0.0,0.0,0.73487196,0.08637854,0.0,0.0,0.0,0.00026185,0.0,0.0
373,Diptera_Group_48,,,,,0,,1,native,0.14159255,,0.0234713,,0.55253246,,0.00457667,,1.54e-11,,0.04247949523,
374,Diptera_Group_49,,,,,0,,1,native,0.14159255,,0.02520101,,0.53502854,,0.01379332,,1.76e-10,,0.04710217888999999,
375,Diptera_Group_5,,,,,0,,1,native,0.18721152,,0.01609818,,1.09897801,,0.00660068,,0.0,,0.01464831858,
376,Diptera_Group_50,,,,,0,,1,native,0.15390215,,0.01737135,,0.65336181,,0.0184337,,3.76e-12,,0.02658764215,
377,Diptera_Group_51,,,,,0,,1,native,0.15465839999999997,,0.03460479,,0.63383663,,0.0402739,,2.33e-12,,0.054595756009999996,
378,Diptera_Group_52,,,,,0,,1,native,0.15260738,,0.03362869,,0.6254398,,0.0372136,,0.0,,0.053768068489999994,
379,Diptera_Group_53,Amblypsilopus scintillans,native,66.0,50.0,1,1.0,1,native,0.15264416,,0.01737135,,0.68905052,,0.0,,0.0,,0.02521056076,
380,Diptera_Group_54,,,,,0,,1,native,0.15063561,,0.02491413,,0.62959372,,0.02309571,,0.0,,0.039571757480000004,
381,Diptera_Group_55,Bactrocera dorsalis,introduced,66.0,50.0,1,1.0,2,native,0.15057278,0.0030515,0.02058953,0.0,0.70071306,0.01237141,0.01324523,0.0,0.0,0.15733928,0.029383682389999995,0.0
382,Diptera_Group_56,Metalimnobia novaeangliae,native,66.0,50.0,1,1.0,1,native,0.15118554,,0.04213437,,0.50578508,,0.04673748,,3.19e-10,,0.0833048891,
383,Diptera_Group_57,Erioptera caliptera,native,66.0,50.0,1,1.0,2,introduced,0.14888281,0.0,0.01227858,0.0,0.72609106,0.0,0.00917438,0.0,0.0,1.0,0.01691052359,
384,Diptera_Group_58,Cuterebra fontinella,native,66.0,50.0,1,1.0,2,native,0.14506539,0.01735969,0.01033646,0.0,0.62927303,0.07210789999999999,0.0093042,0.0,0.0,0.0008093,0.016426033700000002,0.0
385,Diptera_Group_59,Halocladius variabilis,native,33.0,50.0,1,1.0,2,native,0.14770675,0.00458221,0.0234713,0.0,0.5513606,0.01914998,0.0,0.0,0.0,0.08290675,0.042569781009999995,0.0
386,Diptera_Group_6,,,,,0,,1,native,0.17299372,,0.01645592,,0.80080092,,0.0,,0.0,,0.020549327040000002,
387,Diptera_Group_60,,,,,0,,1,native,0.16445541,,0.02914606,,0.59935504,,0.0184337,,6.13e-13,,0.048629039639999996,
388,Diptera_Group_61,Beameromyia disfascia,native,33.0,50.0,1,1.0,1,native,0.1475599,,0.03117718,,0.56202024,,0.0402739,,1.39e-11,,0.05547341142000001,
389,Diptera_Group_62,,,,,0,,1,native,0.14627274,,0.02550845,,0.65189784,,0.02666825,,0.0,,0.03912952066,
390,Diptera_Group_63,Cerodontha dorsalis,native,33.0,50.0,1,1.0,4,native,0.14604495,0.00381809,0.02574756,0.00100335,0.59226651,0.01278469,0.02895604,0.00228833,2.5000000000000003e-12,0.26622539,0.0434729291,0.07848058889
391,Diptera_Group_64,,,,,0,,2,native,0.14539188,0.00152341,0.02350329,0.0,0.62118629,0.006224100000000001,0.0184337,0.0,0.0,0.31782449,0.03783613769,0.0
392,Diptera_Group_65,Anopheles punctipennis,native,33.0,50.0,2,3.0,10,native,0.07670164,0.00760994,6.53e-05,0.0,0.377,0.03143105,0.00014763,0.0,2.1500000000000002e-13,0.06686364,0.000173,0.0
393,Diptera_Group_65,Coquillettidia perturbans,native,66.0,50.0,2,2.0,10,native,0.07670164,0.00760994,6.53e-05,0.0,0.377,0.03143105,0.00014763,0.0,2.1500000000000002e-13,0.06686364,0.000173,0.0
394,Diptera_Group_66,Coquillettidia perturbans,native,66.0,50.0,2,2.0,31,native,0.07670164,0.00417656,6.53e-05,0.00013115,0.377,0.01665432,0.00014763,0.00029625,3.08e-14,0.21073191,0.000173,0.007874833676999999
395,Diptera_Group_66,Culiseta impatiens,native,66.0,50.0,2,2.0,31,native,0.07670164,0.00417656,6.53e-05,0.00013115,0.377,0.01665432,0.00014763,0.00029625,3.08e-14,0.21073191,0.000173,0.007874833676999999
396,Diptera_Group_67,Atrichopogon levis,native,66.0,50.0,1,1.0,4,native,0.14493409,0.01176476,0.02747933,0.0,0.52794764,0.05189411,0.02777956,0.0,3.6099999999999998e-12,0.19348771,0.05204934717,0.0
397,Diptera_Group_68,Coboldia fuscipes,,66.0,,1,1.0,1,native,0.14410673,,0.02449197,,0.61573541,,0.03344793,,3.2299999999999994e-13,,0.03977677685,
398,Diptera_Group_69,,,,,0,,1,native,0.14015031,,0.01624429,,0.6464949000000001,,0.00917438,,1.1e-11,,0.0251267102,
399,Diptera_Group_7,,,,,0,,1,native,0.16639729,,0.01645592,,0.73302768,,0.0,,0.0,,0.02244924776,
400,Diptera_Group_70,,,,,0,,1,native,0.1406175,,0.01227858,,0.52219562,,0.00917438,,2.71e-10,,0.02351337225,
401,Diptera_Group_71,Stonemyia rasa,native,66.0,50.0,1,1.0,2,introduced,0.14069345,0.0,0.02490347,0.0,0.53852264,0.0,0.01324523,0.0,0.0,1.0,0.04624405392,
402,Diptera_Group_72,,,,,0,,3,native,0.13785706,0.00508695,0.02745904,0.00268142,0.52078733,0.01272147,0.04499342,0.00610924,1.1e-13,0.37102957,0.05272601389999999,0.21077910019999999
403,Diptera_Group_73,Aedes cinereus,,66.0,,1,1.0,27,native,0.12888313,0.00994549,0.02067533,0.0,0.55154063,0.04244951,0.01438403,0.0,9.68e-13,0.044816,0.03748650394,0.0
404,Diptera_Group_74,Culex salinarius,native,33.0,50.0,3,4.0,59,native,0.03356483,0.00387623,0.00205191,6.829999999999999e-05,0.14090676,0.01585065,0.00465495,0.00015515,4.32e-08,0.25955435,0.014562182819999998,0.0043100000000000005
405,Diptera_Group_74,Culiseta impatiens,native,66.0,50.0,3,2.0,59,native,0.03356483,0.00387623,0.00205191,6.829999999999999e-05,0.14090676,0.01585065,0.00465495,0.00015515,4.32e-08,0.25955435,0.014562182819999998,0.0043100000000000005
406,Diptera_Group_74,Culiseta melanura,native,66.0,50.0,3,3.0,59,native,0.03356483,0.00387623,0.00205191,6.829999999999999e-05,0.14090676,0.01585065,0.00465495,0.00015515,4.32e-08,0.25955435,0.014562182819999998,0.0043100000000000005
407,Diptera_Group_75,Aedes japonicus,introduced,100.0,50.0,1,1.0,11,native,0.11555913,0.00255366,0.0132368,0.0,0.47849931,0.01062666,0.0184337,0.0,1.11e-10,0.50094131,0.02766315379,0.0
408,Diptera_Group_76,Culiseta morsitans,native,33.0,50.0,1,1.0,15,native,0.11449127,0.00711095,0.01458269,0.00026793,0.51449518,0.0292517,0.00948305,0.00061022,1.73e-10,0.19618486,0.02834368633,0.009159467655
409,Diptera_Group_77,Aedes excrucians,native,66.0,50.0,2,1.0,29,native,0.08896966,0.00194209,0.00765585,0.00027945,0.36441173,0.00728191,0.0099381,0.00063632,3.5299999999999996e-13,0.62550262,0.021008791349999997,0.0383759206
410,Diptera_Group_77,Aedes stimulans,native,66.0,50.0,2,1.0,29,native,0.08896966,0.00194209,0.00765585,0.00027945,0.36441173,0.00728191,0.0099381,0.00063632,3.5299999999999996e-13,0.62550262,0.021008791349999997,0.0383759206
411,Diptera_Group_78,Aedes triseriatus,native,33.0,50.0,1,1.0,23,native,0.09951113,0.009691,0.00380433,0.00114709,0.4560844,0.03822812,0.00866957,0.00261201,2.1600000000000002e-11,0.38753884,0.008341285078000001,0.030006445519999998
412,Diptera_Group_79,Aedes sollicitans,native,33.0,50.0,1,1.0,1,native,0.08296352,,0.00528575,,0.35268828,,0.0,,8.149999999999999e-11,,0.014987030469999997,
413,Diptera_Group_8,Polypedilum convictum,native,66.0,50.0,1,1.0,1,native,0.16231955,,0.02469359,,0.57073023,,0.00917438,,0.0,,0.04326665858,
414,Diptera_Group_80,Aedes vexans,introduced,66.0,50.0,1,1.0,30,native,0.08549661,0.00776075,0.01749698,0.00052615,0.34123020000000004,0.03114838,0.01438403,0.00120023,4.11e-09,0.05804004,0.05127617661,0.0168917292
415,Diptera_Group_81,Aedes trivittatus,native,33.0,50.0,1,1.0,21,native,0.08362479,0.00671825,0.00404649,0.0,0.37508265,0.02786723,0.0,0.0,2.08e-12,0.10538409,0.01078826227,0.0
416,Diptera_Group_82,Aedes sticticus,,33.0,50.0,1,3.0,15,native,0.09495196,0.01118276,0.00216207,0.00027046,0.4523161,0.04667324,0.00491941,0.0006154,1.38e-12,0.07777733,0.004779997882,0.005794755196
417,Diptera_Group_83,Aedes fitchii,native,66.0,50.0,1,2.0,1,native,0.04377551,,0.0,,0.20071435,,0.0,,1.72e-10,,0.0,
418,Diptera_Group_84,Aedes fitchii,native,66.0,50.0,1,2.0,7,introduced,0.04377551,0.00174683,0.0,0.0,0.20071435,0.00732672,0.0,0.0,2.9100000000000003e-10,0.72714683,0.0,0.0
419,Diptera_Group_85,Aedes canadensis,native,66.0,50.0,1,1.0,33,native,0.08142046,0.01056828,0.00605433,0.00012325,0.35502714,0.04423678,0.00447902,0.00027994,4.0800000000000004e-10,0.07079680000000001,0.01705314698,0.002786143114
420,Diptera_Group_86,Aedes cantator,native,66.0,50.0,2,1.0,3,native,0.0813103,0.01123261,0.00723719,0.0,0.35196685,0.047480800000000004,0.00457667,0.0,3.71e-10,0.01059515,0.020562135330000002,0.0
421,Diptera_Group_86,Ochlerotatus cantator,native,33.0,,2,1.0,3,native,0.0813103,0.01123261,0.00723719,0.0,0.35196685,0.047480800000000004,0.00457667,0.0,3.71e-10,0.01059515,0.020562135330000002,0.0
422,Diptera_Group_87,Aedes provocans,native,66.0,50.0,1,1.0,21,native,0.07710568,0.00369747,0.00212872,0.00019377,0.33706732,0.01472899,0.00484134,0.00044045,1.12e-10,0.2310951,0.006315414974,0.013155688200000001
423,Diptera_Group_88,Aedes aurifer,native,66.0,50.0,4,2.0,37,native,0.04864384,0.00887894,0.00408651,0.0,0.19373564,0.03769113,0.0,0.0,5.4600000000000006e-09,0.31256486,0.021093227859999997,0.0
424,Diptera_Group_88,Aedes communis,native,66.0,50.0,4,3.0,37,native,0.04864384,0.00887894,0.00408651,0.0,0.19373564,0.03769113,0.0,0.0,5.4600000000000006e-09,0.31256486,0.021093227859999997,0.0
425,Diptera_Group_88,Aedes diantaeus,native,66.0,50.0,4,1.0,37,native,0.04864384,0.00887894,0.00408651,0.0,0.19373564,0.03769113,0.0,0.0,5.4600000000000006e-09,0.31256486,0.021093227859999997,0.0
426,Diptera_Group_88,Aedes intrudens,native,66.0,50.0,4,3.0,37,native,0.04864384,0.00887894,0.00408651,0.0,0.19373564,0.03769113,0.0,0.0,5.4600000000000006e-09,0.31256486,0.021093227859999997,0.0
427,Diptera_Group_89,Aedes aurifer,native,66.0,50.0,1,2.0,12,native,0.04864384,0.01316586,0.00321603,0.00033512,0.19373564,0.05582808,0.00495981,0.00076278,8.83e-09,0.2039572,0.01660009485,0.006002714046
428,Diptera_Group_9,,,,,0,,1,native,0.15493114,,0.02974749,,0.56556344,,0.00917438,,2.34e-13,,0.052597972029999995,
429,Diptera_Group_90,Aedes communis,native,66.0,50.0,3,3.0,8,native,0.04732738,0.00808303,0.0,0.0,0.18894029999999998,0.03458119,0.0,0.0,5.8499999999999994e-09,0.30389777,0.0,0.0
430,Diptera_Group_90,Aedes intrudens,native,66.0,50.0,3,3.0,8,native,0.04732738,0.00808303,0.0,0.0,0.18894029999999998,0.03458119,0.0,0.0,5.8499999999999994e-09,0.30389777,0.0,0.0
431,Diptera_Group_90,Aedes sticticus,,33.0,50.0,3,3.0,8,native,0.04732738,0.00808303,0.0,0.0,0.18894029999999998,0.03458119,0.0,0.0,5.8499999999999994e-09,0.30389777,0.0,0.0
432,Diptera_Group_91,Aedes communis,native,66.0,50.0,3,3.0,20,native,0.04732738,0.01869157,0.00211417,0.00337111,0.18894029999999998,0.06992786,0.00482059,0.00769177,6.8700000000000005e-09,0.16148367,0.01118961915,0.04820839648
433,Diptera_Group_91,Aedes intrudens,native,66.0,50.0,3,3.0,20,native,0.04732738,0.01869157,0.00211417,0.00337111,0.18894029999999998,0.06992786,0.00482059,0.00769177,6.8700000000000005e-09,0.16148367,0.01118961915,0.04820839648
434,Diptera_Group_91,Aedes sticticus,,33.0,50.0,3,3.0,20,native,0.04732738,0.01869157,0.00211417,0.00337111,0.18894029999999998,0.06992786,0.00482059,0.00769177,6.8700000000000005e-09,0.16148367,0.01118961915,0.04820839648
435,Diptera_Group_92,Aedes abserratus,native,33.0,50.0,3,2.0,21,native,0.0509924,0.00797118,0.0,0.0,0.23583671,0.03408198,0.0,0.0,1.93e-10,0.34989884,0.0,0.0
436,Diptera_Group_92,Aedes implicatus,native,66.0,50.0,3,1.0,21,native,0.0509924,0.00797118,0.0,0.0,0.23583671,0.03408198,0.0,0.0,1.93e-10,0.34989884,0.0,0.0
437,Diptera_Group_92,Aedes punctor,native,66.0,50.0,3,2.0,21,native,0.0509924,0.00797118,0.0,0.0,0.23583671,0.03408198,0.0,0.0,1.93e-10,0.34989884,0.0,0.0
438,Diptera_Group_93,Aedes abserratus,native,33.0,50.0,2,2.0,4,native,0.0509924,0.00973906,0.00101793,0.00212726,0.23583671,0.03268243,0.00231934,0.00486319,4.66e-10,0.13560746,0.004316249154,0.06508879542
439,Diptera_Group_93,Aedes punctor,native,66.0,50.0,2,2.0,4,native,0.0509924,0.00973906,0.00101793,0.00212726,0.23583671,0.03268243,0.00231934,0.00486319,4.66e-10,0.13560746,0.004316249154,0.06508879542
440,Diptera_Group_94,Culex restuans,native,33.0,50.0,2,2.0,15,native,0.05259947,0.00184266,0.00203188,0.0,0.2336894,0.00757196,0.0,0.0,4.29e-10,0.4313807,0.008694788895,0.0
441,Diptera_Group_94,Culiseta melanura,native,66.0,50.0,2,3.0,15,native,0.05259947,0.00184266,0.00203188,0.0,0.2336894,0.00757196,0.0,0.0,4.29e-10,0.4313807,0.008694788895,0.0
442,Diptera_Group_95,Culex restuans,native,33.0,50.0,2,2.0,9,native,0.05259947,0.00556441,0.00203188,0.0,0.2336894,0.02333064,0.0,0.0,9.25e-10,0.12637798,0.008694788895,0.0
443,Diptera_Group_95,Culex salinarius,native,33.0,50.0,2,4.0,9,native,0.05259947,0.00556441,0.00203188,0.0,0.2336894,0.02333064,0.0,0.0,9.25e-10,0.12637798,0.008694788895,0.0
444,Diptera_Group_96,Psorophora ferox,native,33.0,50.0,1,1.0,20,native,0.10478122,0.00520088,0.01548308,0.00020141,0.37037549,0.02115674,0.00950464,0.0004587,3.3e-10,0.14999693,0.04180373815,0.009519897678000001
445,Diptera_Group_97,Culex salinarius,native,33.0,50.0,2,4.0,16,native,0.10478122,0.01147018,0.01624914,0.0,0.37037549,0.04803808,0.01394362,0.0,6.53e-09,0.06576398,0.04387207156,0.0
446,Diptera_Group_97,Culex territans,native,33.0,50.0,2,1.0,16,native,0.10478122,0.01147018,0.01624914,0.0,0.37037549,0.04803808,0.01394362,0.0,6.53e-09,0.06576398,0.04387207156,0.0
447,Diptera_Group_98,,,,,0,,1,native,0.13393904,,0.02936865,,0.50295826,,0.03248546,,9.83e-10,,0.058391823610000004,
448,Diptera_Group_99,,,,,0,,1,native,0.13203488,,0.02129481,,0.51675479,,0.01993421,,9.19e-11,,0.04120873268,
449,Ephemeroptera_Group_1,Centroptilum triangulifer,native,100.0,100.0,1,1.0,1,native,0.22758517,,0.02667422,,1.21920641,,0.04380262,,0.0,,0.02187834626,
450,Ephemeroptera_Group_10,,,,,0,,7,native,0.11370330000000001,0.00218191,0.00106421,0.0,0.58512726,0.00870523,0.0,0.0,0.0,0.43937585,0.001818766741,0.0
451,Ephemeroptera_Group_11,Leptophlebia nebulosa,native,100.0,100.0,1,1.0,2,native,0.11370330000000001,0.00477662,0.00106421,0.0,0.58512726,0.0190285,0.0,0.0,0.0,0.08292508,0.001818766741,0.0
452,Ephemeroptera_Group_12,Epeorus fragilis,native,100.0,100.0,1,1.0,1,native,0.23730516,,0.01505427,,1.57308073,,0.00956945,,0.0,,0.00956992843,
453,Ephemeroptera_Group_13,Leucrocuta aphrodite,native,100.0,100.0,1,1.0,1,native,0.22874697,,0.01072596,,1.49205085,,0.00956945,,0.0,,0.007188736228,
454,Ephemeroptera_Group_14,Stenonema femoratum,native,100.0,100.0,1,1.0,1,native,0.16394029999999998,,0.00427302,,0.97241296,,0.0,,0.0,,0.0043942441899999995,
455,Ephemeroptera_Group_15,Maccaffertium smithae,native,100.0,100.0,1,1.0,2,native,0.13528964,0.00799847,0.00356355,0.0,0.69949457,0.03151724,0.0,0.0,0.0,0.02490501,0.005094464136,0.0
456,Ephemeroptera_Group_16,Maccaffertium mediopunctatum,native,100.0,100.0,1,1.0,2,native,0.13121379,0.00637607,0.00569196,0.0,0.67839778,0.02558884,0.0,0.0,0.0,0.04501961,0.008390298683,0.0
457,Ephemeroptera_Group_17,Maccaffertium vicarium,native,100.0,100.0,1,1.0,3,native,0.13121379,0.01833757,0.00356355,0.0,0.67839778,0.07556742,0.0,0.0,0.0,0.10596171,0.0052528916,0.0
458,Ephemeroptera_Group_18,Stenacron interpunctatum,native,100.0,100.0,1,3.0,3,introduced,0.10545449,0.0,0.00213523,0.0,0.51521641,0.0,0.0,0.0,0.0,1.0,0.004144336164,
459,Ephemeroptera_Group_19,Stenacron interpunctatum,native,100.0,100.0,1,3.0,1,native,0.10545449,,0.00213523,,0.51521641,,0.0,,0.0,,0.004144336164,
460,Ephemeroptera_Group_2,Procloeon viridoculare,native,100.0,100.0,1,1.0,1,native,0.22758517,,0.02667422,,1.74179079,,0.04380262,,0.0,,0.01531425023,
461,Ephemeroptera_Group_20,Stenacron interpunctatum,native,100.0,100.0,1,3.0,1,native,0.16542845,,0.00213751,,0.99970121,,0.0,,0.0,,0.0021381488570000004,
462,Ephemeroptera_Group_21,Eurylophella minimella,native,100.0,100.0,1,1.0,1,native,0.14694284,,0.00425231,,0.83938421,,0.00477328,,0.0,,0.005065987601,
463,Ephemeroptera_Group_22,Eurylophella bicolor,native,100.0,100.0,1,2.0,1,native,0.07633067,,0.00067981,,0.35618352,,0.0,,0.0,,0.0019085947600000002,
464,Ephemeroptera_Group_23,Eurylophella bicolor,native,100.0,100.0,1,2.0,3,native,0.07633067,0.01124485,0.00067981,0.00135777,0.35618352,0.04148327,0.00152556,0.00305111,0.0,0.01371273,0.0019085947600000002,0.03273054414
465,Ephemeroptera_Group_24,Eurylophella prudentalis,native,100.0,100.0,1,1.0,4,native,0.17363195,0.0037029000000000003,0.00624416,0.0,1.05319924,0.01511477,0.0,0.0,0.0,0.14680321,0.0059287547530000005,0.0
466,Ephemeroptera_Group_25,Eurylophella macdunnoughi,native,100.0,100.0,1,1.0,2,native,0.11511759,0.00305293,0.00305604,0.0020339000000000004,0.59470015,0.00609759,0.00228833,0.00457667,0.0,0.52795968,0.005138791372,0.3335580123
467,Ephemeroptera_Group_26,Eurylophella verisimilis,native,100.0,100.0,1,1.0,2,native,0.11511759,0.00457848,0.00305604,0.0,0.59470015,0.01836827,0.0,0.0,0.0,0.08302479,0.005138791372,0.0
468,Ephemeroptera_Group_27,Eurylophella poconoensis,native,100.0,100.0,1,1.0,3,introduced,0.08906948,0.0,0.0,0.0,0.44868214,0.0,0.0,0.0,0.0,1.0,0.0,
469,Ephemeroptera_Group_28,Eurylophella temporalis,native,100.0,100.0,1,1.0,2,native,0.08906948,0.011183499999999999,0.0,0.0,0.44868214,0.04616842,0.0,0.0,0.0,0.00777903,0.0,0.0
470,Ephemeroptera_Group_29,Dentatella coxalis,native,100.0,100.0,1,1.0,1,native,0.13193285,,0.00622275,,0.70927126,,0.00921705,,0.0,,0.008773441631,
471,Ephemeroptera_Group_3,Baetisca laurentina,native,100.0,100.0,1,1.0,4,native,0.23812201,0.00398338,0.03697573,0.00104993,1.46689802,0.01325618,0.04008053,0.00238664,0.0,0.29930182,0.02520674886,0.07920305849999999
472,Ephemeroptera_Group_30,Eurylophella lutulenta,native,100.0,100.0,1,1.0,2,introduced,0.13193285,0.0,0.00622275,0.0,0.70927126,0.0,0.0,0.0,0.0,1.0,0.008773441631,
473,Ephemeroptera_Group_31,Siphlonurus alternatus,native,66.0,100.0,1,1.0,1,native,0.1444289,,0.01173775,,0.73694171,,0.00477328,,0.0,,0.01592765051,
474,Ephemeroptera_Group_32,Siphlonurus rapidus,native,100.0,100.0,2,1.0,2,native,0.1444289,0.02258265,0.01173775,0.0,0.73694171,0.09440053,0.00477328,0.0,0.0,0.00014808,0.01592765051,0.0
475,Ephemeroptera_Group_32,Siphlonurus sp.JMW1,,,,2,1.0,2,native,0.1444289,0.02258265,0.01173775,0.0,0.73694171,0.09440053,0.00477328,0.0,0.0,0.00014808,0.01592765051,0.0
476,Ephemeroptera_Group_33,Ameletus lineatus,native,100.0,100.0,1,1.0,1,native,0.18461257,,0.00851677,,1.20408011,,0.00477328,,0.0,,0.007073258606,
477,Ephemeroptera_Group_34,Ameletus browni,native,100.0,100.0,1,1.0,2,native,0.18461257,0.0015886,0.00851677,0.0,1.18675648,0.00636947,0.00477328,0.0,0.0,0.31778954,0.007176510214,0.0
